reaction,server,converged,error,best_ts_method,branch,execution_time
rxn_212,Zeus,False,Could not determine likely TS conformer,,qchem,10984
rxn_1204,Zeus,True,,heuristics,qchem,42493
rxn_581,Zeus,True,,autotst,qchem,51523
rxn_1387,Zeus,True,,heuristics,qchem,8323
rxn_1637,Zeus,False,Could not determine likely TS conformer,,gaussian_unconverge_trsh,23595
rxn_328,Zeus,True,,heuristics,qchem,1836
rxn_582,Zeus,True,,autotst,qchem,94521
rxn_15,Zeus,True,,heuristics,qchem,25369
rxn_378,Zeus,False,Could not determine likely TS conformer,,qchem,2270
rxn_1889,Zeus,True,,heuristics,gauss_trsh_cleanup,6788
rxn_1169,Zeus,True,,heuristics,qchem,14597
rxn_943,Zeus,True,,heuristics,qchem,5647
rxn_1278,Zeus,True,,heuristics,qchem,14506
rxn_1121,Zeus,True,,heuristics,qchem,9176
rxn_1897,Zeus,True,,heuristics,gauss_trsh_cleanup,4761
rxn_738,Zeus,True,,heuristics,qchem,48272
rxn_878,Zeus,False,Could not determine likely TS conformer,,qchem,2933
rxn_410,Zeus,True,,heuristics,qchem,17823
rxn_445,Zeus,True,,autotst,qchem,25931
rxn_574,Zeus,True,,heuristics,qchem,67315
rxn_448,Zeus,False,Could not determine likely TS conformer,,qchem,35372
rxn_1203,Zeus,True,,heuristics,qchem,38669
rxn_435,Zeus,False,Could not determine likely TS conformer,,qchem,6476
rxn_237,Zeus,False,Could not determine likely TS conformer,,qchem,19393
rxn_1211,Zeus,True,,heuristics,qchem,29302
rxn_450,Zeus,True,,heuristics,qchem,7923
rxn_1996,Zeus,True,,heuristics,gauss_conformer_comb,5171
rxn_135,Zeus,True,TS did not pass all checks,heuristics,qchem,2315
rxn_235,Zeus,True,,autotst,qchem,13325
rxn_1725,Zeus,False,Could not determine likely TS conformer,,heurist_impr,139206
rxn_949,Zeus,True,,heuristics,qchem,8079
rxn_1621,Zeus,True,,heuristics,gaussian_unconverge_trsh,4357
rxn_716,Zeus,False,Could not determine likely TS conformer,,qchem,6278
rxn_562,Zeus,True,,heuristics,qchem,55222
rxn_1467,Zeus,True,,heuristics,qchem,21253
rxn_768,Zeus,False,Could not determine likely TS conformer,,qchem,18474
rxn_1912,Zeus,False,Could not determine likely TS conformer,,gauss_trsh_cleanup,34201
rxn_1835,Zeus,True,,heuristics,gauss_trsh_cleanup,2253
rxn_1667,Zeus,True,,heuristics,main,11051
rxn_392,Zeus,True,,heuristics,qchem,1269
rxn_1586,Zeus,True,,heuristics,gaussian_unconverge_trsh,2817
rxn_879,Zeus,True,,heuristics,qchem,14068
rxn_998,Zeus,True,,heuristics,qchem,4144
rxn_866,Zeus,True,,heuristics,qchem,1900
rxn_718,Zeus,False,Could not determine likely TS conformer,,qchem,904
rxn_207,Zeus,False,Could not determine likely TS conformer,,qchem,7396
rxn_1133,Zeus,True,,heuristics,qchem,28127
rxn_1611,Zeus,False,Could not determine likely TS conformer,,gaussian_unconverge_trsh,28780
rxn_1967,Zeus,True,,heuristics,gauss_trsh_cleanup,33236
rxn_1444,Zeus,True,,heuristics,qchem,34058
rxn_795,Zeus,True,,heuristics,qchem,10723
rxn_1349,Zeus,True,,heuristics,qchem,14051
rxn_639,Zeus,False,Could not determine likely TS conformer,,qchem,1175
rxn_701,Zeus,True,,autotst,qchem,2333
rxn_460,Zeus,True,,heuristics,qchem,13164
rxn_1269,Zeus,True,,heuristics,qchem,42005
rxn_1844,Zeus,True,,heuristics,gauss_trsh_cleanup,5855
rxn_417,Zeus,True,,heuristics,qchem,11668
rxn_93,Zeus,True,,heuristics,qchem,2325
rxn_1192,Zeus,True,,heuristics,qchem,20908
rxn_131,Zeus,True,TS did not pass all checks,heuristics,qchem,373
rxn_830,Zeus,True,,heuristics,qchem,13464
rxn_1843,Zeus,True,,heuristics,gauss_trsh_cleanup,14936
rxn_1085,Zeus,True,,heuristics,qchem,16959
rxn_468,Zeus,True,,heuristics,qchem,11944
rxn_347,Zeus,True,,heuristics,qchem,3025
rxn_786,Zeus,False,Could not determine likely TS conformer,,qchem,4772
rxn_249,Zeus,True,,heuristics,qchem,2024
rxn_224,Zeus,False,Could not determine likely TS conformer,,qchem,4323
rxn_611,Zeus,True,,heuristics,qchem,81173
rxn_1077,Zeus,True,,heuristics,qchem,17847
rxn_1418,Zeus,True,,heuristics,qchem,22404
rxn_796,Zeus,True,,heuristics,qchem,27787
rxn_1266,Zeus,True,,heuristics,qchem,45695
rxn_1663,Zeus,True,,heuristics,main,38753
rxn_656,Zeus,True,,autotst,qchem,1710018
rxn_684,Zeus,False,Could not determine likely TS conformer,,qchem,3042
rxn_1479,Zeus,True,,heuristics,qchem,16944
rxn_492,Zeus,False,Could not determine likely TS conformer,,qchem,2156
rxn_594,Zeus,True,,autotst,qchem,36136
rxn_30,Zeus,True,,heuristics,qchem,13918
rxn_346,Zeus,False,Could not determine likely TS conformer,,qchem,2592
rxn_1503,Zeus,True,,heuristics,qchem,56931
rxn_1604,Zeus,True,,heuristics,gaussian_unconverge_trsh,2683
rxn_1092,Zeus,True,,heuristics,qchem,22267
rxn_1039,Zeus,True,,heuristics,qchem,3788
rxn_1986,Zeus,True,,heuristics,gauss_trsh_cleanup,11238
rxn_933,Zeus,True,,heuristics,qchem,12340
rxn_1578,Zeus,False,Could not determine likely TS conformer,,zeus_run,8618
rxn_636,Zeus,False,Could not determine likely TS conformer,,qchem,643
rxn_1358,Zeus,True,,heuristics,qchem,18520
rxn_464,Zeus,True,,heuristics,qchem,2700
rxn_398,Zeus,True,,heuristics,qchem,5618
rxn_37,Zeus,True,,heuristics,qchem,9856
rxn_1113,Zeus,True,,heuristics,qchem,27528
rxn_1890,Zeus,True,,heuristics,gauss_trsh_cleanup,12591
rxn_197,Zeus,True,,heuristics,qchem,2872
rxn_954,Zeus,True,,heuristics,qchem,17689
rxn_1006,Zeus,True,,heuristics,qchem,9367
rxn_208,Zeus,True,,autotst,qchem,6105
rxn_313,Zeus,False,Could not determine likely TS conformer,,qchem,5895
rxn_898,Zeus,True,,heuristics,qchem,9563
rxn_1436,Zeus,True,,heuristics,qchem,20515
rxn_1293,Zeus,True,,heuristics,qchem,14906
rxn_1633,Zeus,True,,heuristics,gaussian_unconverge_trsh,7978
rxn_129,Zeus,True,,heuristics,qchem,914
rxn_742,Zeus,True,,heuristics,qchem,23756
rxn_1814,Zeus,True,,heuristics,gauss_trsh_cleanup,3872
rxn_124,Zeus,True,,heuristics,qchem,1055
rxn_1478,Zeus,True,,heuristics,qchem,17060
rxn_482,Zeus,True,,heuristics,qchem,1117
rxn_1180,Zeus,True,,heuristics,qchem,47331
rxn_420,Zeus,True,,heuristics,qchem,5060
rxn_1328,Zeus,True,,heuristics,qchem,24926
rxn_1529,Zeus,True,,heuristics,qchem,83270
rxn_851,Zeus,True,,heuristics,qchem,6643
rxn_921,Zeus,True,,heuristics,qchem,8932
rxn_1869,Zeus,True,,heuristics,gauss_trsh_cleanup,5131
rxn_155,Zeus,True,TS did not pass all checks,heuristics,qchem,26138
rxn_92,Zeus,True,"Reactant or Product did not converge, but TS did",heuristics,qchem,3436
rxn_52,Zeus,True,"Reactant or Product did not converge, but TS did",heuristics,qchem,3492
rxn_1275,Zeus,True,,heuristics,qchem,6771
rxn_613,Zeus,True,,autotst,qchem,121773
rxn_73,Zeus,False,Could not determine likely TS conformer,,qchem,2009
rxn_368,Zeus,True,,autotst,qchem,3538
rxn_1838,Zeus,True,,heuristics,gauss_trsh_cleanup,5997
rxn_973,Zeus,True,,heuristics,qchem,7231
rxn_1792,Zeus,True,,heuristics,gauss_trsh_cleanup,3059
rxn_325,Zeus,True,,heuristics,qchem,1086
rxn_1796,Zeus,True,,autotst,gauss_trsh_cleanup,48476
rxn_100,Zeus,True,,heuristics,qchem,1253
rxn_1023,Zeus,True,,heuristics,qchem,16923
rxn_741,Zeus,True,,heuristics,qchem,26158
rxn_1657,Zeus,True,,autotst,main,39643
rxn_1303,Zeus,True,,heuristics,qchem,9075
rxn_110,Zeus,True,,heuristics,qchem,4180
rxn_1011,Zeus,True,,heuristics,qchem,31900
rxn_606,Zeus,True,,heuristics,qchem,121939
rxn_95,Zeus,True,,heuristics,qchem,2791
rxn_769,Zeus,False,Could not determine likely TS conformer,,qchem,1107
rxn_1172,Zeus,True,,heuristics,qchem,39323
rxn_1810,Zeus,True,,heuristics,gauss_trsh_cleanup,7348
rxn_1302,Zeus,True,,heuristics,qchem,4275
rxn_1415,Zeus,True,,heuristics,qchem,22770
rxn_279,Zeus,True,,heuristics,qchem,8859
rxn_876,Zeus,True,,heuristics,qchem,7237
rxn_1926,Zeus,True,,autotst,gauss_trsh_cleanup,34462
rxn_772,Zeus,True,,heuristics,qchem,9955
rxn_1042,Zeus,False,Could not determine likely TS conformer,,qchem,18266
rxn_1632,Zeus,True,,heuristics,gaussian_unconverge_trsh,9519
rxn_323,Zeus,False,Could not determine likely TS conformer,,qchem,5354
rxn_33,Zeus,False,Could not determine likely TS conformer,,qchem,12580
rxn_229,Zeus,True,,heuristics,qchem,7233
rxn_652,Zeus,False,Could not determine likely TS conformer,,qchem,16113
rxn_133,Zeus,True,"Reactant or Product did not converge, but TS did",heuristics,qchem,3216
rxn_869,Zeus,True,,heuristics,qchem,9419
rxn_142,Zeus,False,Could not determine likely TS conformer,,qchem,3556
rxn_1452,Zeus,True,,heuristics,qchem,38143
rxn_1155,Zeus,True,,heuristics,qchem,23093
rxn_1507,Zeus,True,,heuristics,qchem,57723
rxn_1433,Zeus,True,,autotst,qchem,62356
rxn_596,Zeus,True,,autotst,qchem,59585
rxn_1371,Zeus,True,,heuristics,qchem,12616
rxn_1284,Zeus,True,,heuristics,qchem,20161
rxn_484,Zeus,True,,heuristics,qchem,2071
rxn_676,Zeus,True,,heuristics,qchem,610
rxn_775,Zeus,True,,heuristics,qchem,2086
rxn_251,Zeus,True,,heuristics,qchem,2961
rxn_1265,Zeus,True,,heuristics,qchem,13549
rxn_69,Zeus,False,Could not determine likely TS conformer,,qchem,687
rxn_1264,Zeus,True,,heuristics,qchem,17733
rxn_488,Zeus,False,Could not determine likely TS conformer,,qchem,3172
rxn_628,Zeus,False,Could not determine likely TS conformer,,qchem,797
rxn_1053,Zeus,True,,heuristics,qchem,59883
rxn_1166,Zeus,True,,heuristics,qchem,42993
rxn_1558,Zeus,True,,heuristics,heurist_impr,121041
rxn_637,Zeus,True,TS did not pass all checks,heuristics,qchem,492
rxn_855,Zeus,True,,heuristics,qchem,3884
rxn_1888,Zeus,True,,heuristics,gauss_trsh_cleanup,4718
rxn_993,Zeus,True,,heuristics,qchem,36007
rxn_231,Zeus,True,,heuristics,qchem,2002
rxn_846,Zeus,True,,heuristics,qchem,5749
rxn_922,Zeus,True,,heuristics,qchem,11943
rxn_329,Zeus,False,Could not determine likely TS conformer,,qchem,3321
rxn_914,Zeus,True,,heuristics,qchem,8087
rxn_985,Zeus,True,,heuristics,qchem,21039
rxn_773,Zeus,True,,heuristics,qchem,1030
rxn_648,Zeus,True,,heuristics,qchem,936
rxn_1651,Zeus,False,Could not determine likely TS conformer,,main,19928
rxn_1392,Zeus,True,,heuristics,qchem,11997
rxn_755,Zeus,False,Could not determine likely TS conformer,,qchem,954
rxn_814,Zeus,False,Could not determine likely TS conformer,,qchem,1218172
rxn_940,Zeus,True,,heuristics,qchem,8499
rxn_1607,Zeus,True,,heuristics,main,4447
rxn_8,Zeus,False,Could not determine likely TS conformer,,qchem,42252
rxn_362,Zeus,False,Could not determine likely TS conformer,,qchem,1197
rxn_104,Zeus,True,,heuristics,qchem,5614
rxn_288,Zeus,True,,heuristics,qchem,474
rxn_1658,Zeus,True,,heuristics,main,22428
rxn_360,Zeus,False,Could not determine likely TS conformer,,qchem,1380
rxn_178,Zeus,True,,heuristics,qchem,14110
rxn_1058,Zeus,True,,heuristics,qchem,8032
rxn_736,Zeus,False,Could not determine likely TS conformer,,qchem,181500
rxn_1504,Zeus,True,,heuristics,qchem,73477
rxn_1179,Zeus,True,,heuristics,qchem,34713
rxn_969,Zeus,True,,heuristics,qchem,13630
rxn_144,Zeus,True,TS did not pass all checks,heuristics,qchem,338
rxn_366,Zeus,True,,heuristics,qchem,1751
rxn_472,Zeus,False,Could not determine likely TS conformer,,qchem,9108
rxn_491,Zeus,True,,heuristics,qchem,33291
rxn_419,Zeus,True,,heuristics,qchem,9457
rxn_666,Zeus,False,Could not determine likely TS conformer,,qchem,530
rxn_1807,Zeus,False,Could not determine likely TS conformer,,gauss_trsh_cleanup,5205
rxn_264,Zeus,True,TS did not pass all checks,heuristics,qchem,14532
rxn_422,Zeus,True,,autotst,qchem,38834
rxn_761,Zeus,True,,heuristics,qchem,4162
rxn_978,Zeus,True,,heuristics,qchem,18424
rxn_586,Zeus,True,,autotst,qchem,45514
rxn_836,Zeus,True,,heuristics,qchem,4080
rxn_1923,Zeus,True,,heuristics,gauss_trsh_cleanup,40321
rxn_330,Zeus,True,,heuristics,qchem,1857
rxn_1517,Zeus,True,,heuristics,qchem,33510
rxn_1933,Zeus,True,,heuristics,gauss_trsh_cleanup,7820
rxn_835,Zeus,True,,heuristics,qchem,2318
rxn_115,Zeus,True,,heuristics,qchem,1233
rxn_1191,Zeus,True,,heuristics,qchem,18174
rxn_619,Zeus,False,Could not determine likely TS conformer,,qchem,272366
rxn_1044,Zeus,True,,heuristics,qchem,15681
rxn_238,Zeus,True,,heuristics,qchem,2097
rxn_385,Zeus,False,Could not determine likely TS conformer,,qchem,3959
rxn_1465,Zeus,True,,heuristics,qchem,27609
rxn_1202,Zeus,True,,heuristics,qchem,52454
rxn_931,Zeus,True,,heuristics,qchem,8745
rxn_1824,Zeus,True,,heuristics,gauss_trsh_cleanup,3030
rxn_367,Zeus,False,Could not determine likely TS conformer,,qchem,2653
rxn_840,Zeus,True,,heuristics,qchem,23462
rxn_1858,Zeus,False,Could not determine likely TS conformer,,gauss_trsh_cleanup,1504
rxn_474,Zeus,True,,heuristics,qchem,1174
rxn_265,Zeus,True,TS did not pass all checks,autotst,qchem,7422
rxn_443,Zeus,False,Could not determine likely TS conformer,,qchem,31817
rxn_119,Zeus,True,,heuristics,qchem,1393
rxn_548,Zeus,True,,heuristics,qchem,104170
rxn_917,Zeus,True,,heuristics,qchem,23448
rxn_1802,Zeus,True,,heuristics,gauss_trsh_cleanup,3287
rxn_1921,Zeus,True,,heuristics,gauss_trsh_cleanup,9979
rxn_409,Zeus,True,,heuristics,qchem,18930
rxn_477,Zeus,False,Could not determine likely TS conformer,,qchem,6927
rxn_1938,Zeus,True,,heuristics,gauss_trsh_cleanup,28612
rxn_1951,Zeus,True,,heuristics,gauss_trsh_cleanup,868
rxn_1894,Zeus,True,,heuristics,gauss_trsh_cleanup,10541
rxn_1372,Zeus,True,,heuristics,qchem,18950
rxn_1958,Zeus,True,,heuristics,gauss_trsh_cleanup,13801
rxn_72,Zeus,True,,heuristics,qchem,268
rxn_1952,Zeus,True,,heuristics,gauss_trsh_cleanup,1806
rxn_1095,Zeus,True,,heuristics,qchem,39676
rxn_759,Zeus,False,Could not determine likely TS conformer,,qchem,5656
rxn_1622,Zeus,True,,heuristics,main,10891
rxn_458,Zeus,True,,heuristics,qchem,11744
rxn_1235,Zeus,True,,heuristics,qchem,5738
rxn_432,Zeus,True,,autotst,qchem,46774
rxn_335,Zeus,True,,heuristics,qchem,4258
rxn_783,Zeus,False,Could not determine likely TS conformer,,qchem,58325
rxn_1318,Zeus,True,,autotst,qchem,44639
rxn_1297,Zeus,True,,heuristics,qchem,11921
rxn_78,Zeus,False,Could not determine likely TS conformer,,qchem,3879
rxn_1903,Zeus,True,,autotst,gauss_trsh_cleanup,6568
rxn_1177,Zeus,True,,heuristics,qchem,80794
rxn_640,Zeus,False,Could not determine likely TS conformer,,qchem,1438
rxn_1820,Zeus,True,,heuristics,gauss_trsh_cleanup,3408
rxn_1945,Zeus,True,,heuristics,gauss_trsh_cleanup,5206
rxn_1447,Zeus,True,,heuristics,qchem,56472
rxn_285,Zeus,True,,heuristics + autotst,qchem,415
rxn_1175,Zeus,True,,heuristics,qchem,43744
rxn_1670,Zeus,True,,heuristics,main,28030
rxn_1620,Zeus,True,,heuristics,gaussian_unconverge_trsh,28855
rxn_1862,Zeus,True,,heuristics,gauss_trsh_cleanup,7737
rxn_1805,Zeus,True,,heuristics,gauss_trsh_cleanup,6666
rxn_2004,Zeus,True,,heuristics,gauss_conformer_comb,31645
rxn_1354,Zeus,True,,heuristics,qchem,24929
rxn_363,Zeus,True,,heuristics,qchem,2990
rxn_389,Zeus,True,,heuristics,qchem,1709
rxn_170,Zeus,True,TS did not pass all checks,heuristics,qchem,427
rxn_35,Zeus,False,Could not determine likely TS conformer,,qchem,14920
rxn_1495,Zeus,True,,autotst,qchem,64092
rxn_1624,Zeus,True,,heuristics,gaussian_unconverge_trsh,1811
rxn_568,Zeus,False,Could not determine likely TS conformer,,qchem,231188
rxn_1991,Zeus,True,,autotst,gauss_conformer_comb,5020
rxn_965,Zeus,True,,heuristics,qchem,27395
rxn_225,Zeus,True,"Reactant or Product did not converge, but TS did",heuristics,qchem,1420
rxn_578,Zeus,True,,autotst,qchem,48761
rxn_1299,Zeus,True,,heuristics,qchem,13290
rxn_1851,Zeus,True,,heuristics,gauss_trsh_cleanup,7870
rxn_1593,Zeus,True,,heuristics,gaussian_unconverge_trsh,1935
rxn_214,Zeus,False,Could not determine likely TS conformer,,qchem,9951
rxn_843,Zeus,True,,heuristics,qchem,1534
rxn_711,Zeus,True,,heuristics,qchem,1546
rxn_1184,Zeus,True,,heuristics,qchem,96275
rxn_1280,Zeus,True,,heuristics,qchem,7272
rxn_414,Zeus,True,,heuristics,qchem,12264
rxn_1103,Zeus,True,,heuristics,qchem,233498
rxn_181,Zeus,False,Could not determine likely TS conformer,,qchem,16784
rxn_358,Zeus,False,Could not determine likely TS conformer,,qchem,1929
rxn_1001,Zeus,True,,heuristics,qchem,14433
rxn_1,Zeus,True,,heuristics,qchem,16247
rxn_1506,Zeus,True,,heuristics,qchem,56757
rxn_1956,Zeus,False,Could not determine likely TS conformer,,gauss_trsh_cleanup,7729
rxn_1649,Zeus,True,,heuristics,main,5378
rxn_293,Zeus,False,Could not determine likely TS conformer,,qchem,2214
rxn_227,Zeus,False,Could not determine likely TS conformer,,qchem,7110
rxn_730,Zeus,False,Could not determine likely TS conformer,,qchem,110602
rxn_896,Zeus,True,,heuristics,qchem,5466
rxn_413,Zeus,True,,heuristics,qchem,11000
rxn_1151,Zeus,True,,heuristics,qchem,27423
rxn_121,Zeus,False,Could not determine likely TS conformer,,qchem,30248
rxn_1839,Zeus,True,,autotst,gauss_trsh_cleanup,17119
rxn_1327,Zeus,True,,heuristics,qchem,14550
rxn_1893,Zeus,True,,heuristics,gauss_trsh_cleanup,4634
rxn_2001,Zeus,True,,heuristics,gauss_conformer_comb,18292
rxn_202,Zeus,False,Could not determine likely TS conformer,,qchem,1468
rxn_209,Zeus,True,,heuristics,qchem,1240
rxn_907,Zeus,True,,heuristics,qchem,5728
rxn_296,Zeus,True,,heuristics,qchem,10970
rxn_607,Zeus,True,,heuristics,qchem,119126
rxn_10,Zeus,True,,heuristics,qchem,30723
rxn_1984,Zeus,True,,heuristics,gauss_trsh_cleanup,9351
rxn_1500,Zeus,True,,heuristics,qchem,70229
rxn_625,Zeus,True,,heuristics,qchem,673
rxn_634,Zeus,False,Could not determine likely TS conformer,,qchem,1976
rxn_667,Zeus,True,,heuristics,qchem,299
rxn_1386,Zeus,True,,heuristics,qchem,7867
rxn_709,Zeus,True,,heuristics,qchem,1087
rxn_927,Zeus,True,,heuristics,qchem,7968
rxn_198,Zeus,False,Could not determine likely TS conformer,,qchem,3672
rxn_721,Zeus,True,,heuristics,qchem,2148
rxn_1477,Zeus,True,,autotst,qchem,52593
rxn_679,Zeus,False,Could not determine likely TS conformer,,qchem,1352
rxn_1462,Zeus,True,,heuristics,qchem,28672
rxn_1659,Zeus,False,Could not determine likely TS conformer,,main,55537
rxn_275,Zeus,True,,autotst,qchem,10899
rxn_1630,Zeus,True,,heuristics,main,6774
rxn_801,Zeus,True,,heuristics,qchem,15113
rxn_1863,Zeus,False,Could not determine likely TS conformer,,gauss_trsh_cleanup,1003
rxn_161,Zeus,True,TS did not pass all checks,heuristics,qchem,4765
rxn_196,Zeus,False,Could not determine likely TS conformer,,qchem,3837
rxn_1803,Zeus,True,,heuristics,gauss_trsh_cleanup,2957
rxn_1977,Zeus,True,,heuristics,gauss_trsh_cleanup,6705
rxn_733,Zeus,True,,heuristics,qchem,19230
rxn_699,Zeus,False,Could not determine likely TS conformer,,qchem,1332
rxn_1421,Zeus,True,,heuristics,qchem,22143
rxn_1216,Zeus,True,,heuristics,qchem,5562
rxn_731,Zeus,True,,autotst,qchem,10653
rxn_1402,Zeus,True,,heuristics,qchem,17615
rxn_799,Zeus,True,,autotst,qchem,3955
rxn_261,Zeus,True,,autotst,qchem,7222
rxn_1665,Zeus,True,,heuristics,main,3259
rxn_1930,Zeus,True,,heuristics,gauss_trsh_cleanup,9527
rxn_936,Zeus,True,,heuristics,qchem,16445
rxn_899,Zeus,True,,heuristics,qchem,6099
rxn_1861,Zeus,True,,heuristics,gauss_trsh_cleanup,2752
rxn_727,Zeus,False,Could not determine likely TS conformer,,qchem,100709
rxn_1391,Zeus,True,,heuristics,qchem,8511
rxn_57,Zeus,True,,heuristics,qchem,2255
rxn_123,Zeus,True,,heuristics,qchem,731
rxn_1394,Zeus,False,Could not determine likely TS conformer,,qchem,35020
rxn_889,Zeus,True,,heuristics,qchem,4621
rxn_105,Zeus,True,,heuristics,qchem,5018
rxn_1641,Zeus,True,,autotst,main,18452
rxn_1918,Zeus,True,,heuristics,gauss_trsh_cleanup,6948
rxn_58,Zeus,False,Could not determine likely TS conformer,,qchem,18340
rxn_311,Zeus,False,Could not determine likely TS conformer,,qchem,1635
rxn_1910,Zeus,True,,heuristics,gauss_trsh_cleanup,8537
rxn_1982,Zeus,True,,autotst,gauss_trsh_cleanup,28387
rxn_714,Zeus,False,Could not determine likely TS conformer,,qchem,3046
rxn_764,Zeus,False,Could not determine likely TS conformer,,qchem,2041
rxn_708,Zeus,False,Could not determine likely TS conformer,,qchem,6050
rxn_1942,Zeus,True,,heuristics,gauss_trsh_cleanup,11575
rxn_253,Zeus,True,,heuristics,qchem,2008
rxn_659,Zeus,True,,heuristics,qchem,5661
rxn_276,Zeus,True,TS did not pass all checks,autotst,qchem,26967
rxn_1237,Zeus,True,,heuristics,qchem,8252
rxn_1453,Zeus,True,,heuristics,qchem,27047
rxn_334,Zeus,True,,autotst,qchem,6413
rxn_467,Zeus,True,,heuristics,qchem,974
rxn_746,Zeus,True,,heuristics,qchem,190442
rxn_1811,Zeus,True,,heuristics,gauss_trsh_cleanup,8584
rxn_680,Zeus,True,,heuristics,qchem,1046
rxn_776,Zeus,True,TS did not pass all checks,heuristics,qchem,9027
rxn_1434,Zeus,True,,heuristics,qchem,18113
rxn_1818,Zeus,True,,heuristics,gauss_trsh_cleanup,19853
rxn_1594,Zeus,True,,autotst,gaussian_unconverge_trsh,6315
rxn_916,Zeus,True,,heuristics,qchem,14439
rxn_1213,Zeus,True,,heuristics,qchem,8896
rxn_1198,Zeus,True,,heuristics,qchem,29697
rxn_5,Zeus,True,,heuristics,qchem,26072
rxn_1352,Zeus,True,,heuristics,qchem,23836
rxn_1017,Zeus,True,,heuristics,qchem,2981
rxn_547,Zeus,True,,heuristics,qchem,84619
rxn_602,Zeus,True,,heuristics,qchem,54196
rxn_807,Zeus,True,,heuristics,qchem,1069
rxn_723,Zeus,True,,heuristics,qchem,1716
rxn_1648,Zeus,True,,heuristics,main,24179
rxn_705,Zeus,True,,heuristics,qchem,1341
rxn_1370,Zeus,True,,heuristics,qchem,16149
rxn_1062,Zeus,True,,heuristics,qchem,7016
rxn_199,Zeus,False,Could not determine likely TS conformer,,qchem,6778
rxn_376,Zeus,False,Could not determine likely TS conformer,,qchem,5353
rxn_490,Zeus,True,,heuristics,qchem,2979
rxn_494,Zeus,True,,heuristics,qchem,3166
rxn_1666,Zeus,True,,heuristics,main,21591
rxn_576,Zeus,True,,heuristics,qchem,42864
rxn_471,Zeus,False,Could not determine likely TS conformer,,qchem,1195
rxn_1229,Zeus,True,,heuristics,qchem,35116
rxn_813,Zeus,False,Could not determine likely TS conformer,,qchem,3310
rxn_343,Zeus,False,Could not determine likely TS conformer,,qchem,6667
rxn_125,Zeus,True,,heuristics,qchem,1392
rxn_895,Zeus,True,,heuristics,qchem,2816
rxn_1225,Zeus,True,,heuristics,qchem,11105
rxn_658,Zeus,False,Could not determine likely TS conformer,,qchem,2283
rxn_258,Zeus,True,,heuristics,qchem,8170
rxn_816,Zeus,True,,heuristics,qchem,6148
rxn_1055,Zeus,True,,heuristics,qchem,8872
rxn_654,Zeus,True,,heuristics,qchem,583
rxn_1025,Zeus,True,,heuristics,qchem,15337
rxn_338,Zeus,False,Could not determine likely TS conformer,,qchem,41510
rxn_1501,Zeus,True,,heuristics,qchem,86544
rxn_706,Zeus,True,,heuristics,qchem,357
rxn_1454,Zeus,True,,heuristics,qchem,49704
rxn_103,Zeus,True,,heuristics,qchem,5277
rxn_254,Zeus,True,,heuristics,qchem,8723
rxn_365,Zeus,True,,heuristics,qchem,1915
rxn_310,Zeus,True,,autotst,qchem,3698
rxn_702,Zeus,True,,autotst,qchem,3027
rxn_663,Zeus,False,Could not determine likely TS conformer,,qchem,2528
rxn_1962,Zeus,True,,heuristics,gauss_trsh_cleanup,4106
