reaction,server_x,reactant1,reactant2,no_of_carbon,no_of_nitrogen,no_of_oxygen,aromatic_exist,no_of_sgbonds,no_of_dbbonds,no_of_tpbonds,server_y,converged,error,best_ts_method,branch,execution_time
rxn_1071,Zeus,C[C](C=S)S,C=CCC,7,0,0,False,5,2,0,Zeus,True,,heuristics,qchem,16427.0
rxn_300,Zeus,C[O],CCC,4,0,1,False,3,0,0,Zeus,True,,heuristics,qchem,5432.0
rxn_849,Zeus,C[C](S)C,C,4,0,0,False,3,0,0,Zeus,True,,heuristics,qchem,4265.0
rxn_331,Zeus,[CH2]O,CCC,4,0,1,False,3,0,0,Zeus,True,,heuristics,qchem,3285.0
rxn_1037,Zeus,C=CC,C=C[C]=S,6,0,0,False,2,3,0,Zeus,True,,heuristics,qchem,4289.0
rxn_99,Zeus,[NH2],C=CC,3,1,0,False,1,1,0,Zeus,True,,heuristics,qchem,1706.0
rxn_1502,Zeus,[CH2]C=S,CCc1ccccc1,10,0,0,True,3,1,0,Zeus,True,,heuristics,qchem,47653.0
rxn_780,Zeus,OO,C[CH]O,2,0,3,False,3,0,0,Zeus,True,,heuristics,qchem,2513.0
rxn_1342,Zeus,C#CC(C)C,S[C]=S,6,0,0,False,4,1,1,Zeus,True,,heuristics,qchem,14957.0
rxn_350,Zeus,[OH],C=CC,3,0,1,False,1,1,0,Zeus,False,Could not determine likely TS conformer,,qchem,2566.0
rxn_407,Zeus,CC(C)CO,C[CH]C,7,0,1,False,6,0,0,Zeus,True,,heuristics,qchem,15078.0
rxn_212,Zeus,CC,[OH],2,0,1,False,1,0,0,Zeus,False,Could not determine likely TS conformer,,qchem,10984.0
rxn_1204,Zeus,S[CH]C#C,C=CC(C)C=C,9,0,0,False,5,2,1,Zeus,True,,heuristics,qchem,42493.0
rxn_581,Zeus,[CH2]C=C,C1CCC2CCCC2C1,12,0,0,False,11,1,0,Zeus,True,,autotst,qchem,51523.0
rxn_1387,Zeus,C#CCC#C,C=C[C]=S,8,0,0,False,3,2,2,Zeus,True,,heuristics,qchem,8323.0
rxn_1637,Zeus,C[C](C#C)S,C=CC,7,0,0,False,4,1,1,Zeus,False,Could not determine likely TS conformer,,gaussian_unconverge_trsh,23595.0
rxn_328,Zeus,CO,[CH3],2,0,1,False,1,0,0,Zeus,True,,heuristics,qchem,1836.0
rxn_582,Zeus,C=C[CH]C,C1CCC2CCCC2C1,13,0,0,False,12,1,0,Zeus,True,,autotst,qchem,94521.0
rxn_15,Zeus,C=C(C)C,CC(C)C[O],8,0,1,False,6,1,0,Zeus,True,,heuristics,qchem,25369.0
rxn_378,Zeus,O,[O][O],0,0,3,False,1,0,0,Zeus,False,Could not determine likely TS conformer,,qchem,2270.0
rxn_1889,Zeus,CCS,C[CH]C=S,5,0,0,False,4,1,0,Zeus,True,,heuristics,gauss_trsh_cleanup,6788.0
rxn_1169,Zeus,[H],C=CC(C)C=C,6,0,0,False,3,2,0,Zeus,True,,heuristics,qchem,14597.0
rxn_943,Zeus,S[CH]C#C,CCC,6,0,0,False,4,0,1,Zeus,True,,heuristics,qchem,5647.0
rxn_1278,Zeus,C#C[C]=C,C#CCC,8,0,0,False,3,1,2,Zeus,True,,heuristics,qchem,14506.0
rxn_1121,Zeus,C=CC(C)C,C[C]=S,7,0,0,False,4,2,0,Zeus,True,,heuristics,qchem,9176.0
rxn_1897,Zeus,S[CH]C#C,CCS,5,0,0,False,4,0,1,Zeus,True,,heuristics,gauss_trsh_cleanup,4761.0
rxn_738,Zeus,C=CC,C1C[C]2CCCC2C1,11,0,0,False,10,1,0,Zeus,True,,heuristics,qchem,48272.0
rxn_878,Zeus,C#C[CH]C#C,CC,7,0,0,False,3,0,2,Zeus,False,Could not determine likely TS conformer,,qchem,2933.0
rxn_410,Zeus,CC(C)[CH]O,C=C(C)C,8,0,1,False,6,1,0,Zeus,True,,heuristics,qchem,17823.0
rxn_445,Zeus,[O]O,CCc1ccccc1,8,0,2,True,3,0,0,Zeus,True,,autotst,qchem,25931.0
rxn_574,Zeus,C=[C]C=C,C1CC2CCCC2C1,12,0,0,False,10,2,0,Zeus,True,,heuristics,qchem,67315.0
rxn_448,Zeus,CCc1ccccc1,[O][O],8,0,2,False,3,0,0,Zeus,False,Could not determine likely TS conformer,,qchem,35372.0
rxn_1203,Zeus,C[C](C=S)S,C=CC(C)C=C,9,0,0,False,6,3,0,Zeus,True,,heuristics,qchem,38669.0
rxn_435,Zeus,OO,[CH]=CCC,4,0,2,False,3,1,0,Zeus,False,Could not determine likely TS conformer,,qchem,6476.0
rxn_237,Zeus,CC=O,[OH],2,0,2,False,1,1,0,Zeus,False,Could not determine likely TS conformer,,qchem,19393.0
rxn_1211,Zeus,C=CC(C)C=C,C=C[C]=S,9,0,0,False,4,4,0,Zeus,True,,heuristics,qchem,29302.0
rxn_450,Zeus,CCOO,C[CH]C,5,0,2,False,5,0,0,Zeus,True,,heuristics,qchem,7923.0
rxn_1996,Zeus,CCC=S,C[CH2],5,0,0,False,3,1,0,Zeus,True,,heuristics,gauss_conformer_comb,5171.0
rxn_135,Zeus,[Cl],CCCC,4,0,0,False,3,0,0,Zeus,True,TS did not pass all checks,heuristics,qchem,2315.0
rxn_235,Zeus,CC=O,[H],2,0,1,False,1,1,0,Zeus,True,,autotst,qchem,13325.0
rxn_1725,Zeus,C[C](c1ccccc1)S,c1ccccc1,14,0,0,True,3,0,0,Zeus,False,Could not determine likely TS conformer,,heurist_impr,139206.0
rxn_949,Zeus,S[C]=S,CCC,4,0,0,False,3,1,0,Zeus,True,,heuristics,qchem,8079.0
rxn_1621,Zeus,C=[C]C=C,C=CC,7,0,0,False,2,3,0,Zeus,True,,heuristics,gaussian_unconverge_trsh,4357.0
rxn_716,Zeus,[NH2],NO,0,2,1,False,1,0,0,Zeus,False,Could not determine likely TS conformer,,qchem,6278.0
rxn_562,Zeus,C=C[CH]C=C,C1CC2CCCC2C1,13,0,0,False,11,2,0,Zeus,True,,heuristics,qchem,55222.0
rxn_1467,Zeus,S[CH]C#C,Cc1ccccc1,10,0,0,True,3,0,1,Zeus,True,,heuristics,qchem,21253.0
rxn_768,Zeus,[H],CC(C)CO,4,0,1,False,4,0,0,Zeus,False,Could not determine likely TS conformer,,qchem,18474.0
rxn_1912,Zeus,CC(S)C,[CH2]C=C,6,0,0,False,4,1,0,Zeus,False,Could not determine likely TS conformer,,gauss_trsh_cleanup,34201.0
rxn_1835,Zeus,CS,C=[C]C,4,0,0,False,2,1,0,Zeus,True,,heuristics,gauss_trsh_cleanup,2253.0
rxn_1667,Zeus,C#C[C]=C,C=CC=C,8,0,0,False,2,3,1,Zeus,True,,heuristics,main,11051.0
rxn_392,Zeus,[CH]=C,CO,3,0,1,False,1,1,0,Zeus,True,,heuristics,qchem,1269.0
rxn_1586,Zeus,[CH2]S,C=C,3,0,0,False,1,1,0,Zeus,True,,heuristics,gaussian_unconverge_trsh,2817.0
rxn_879,Zeus,C#C[C](C)C#C,CC,8,0,0,False,4,0,2,Zeus,True,,heuristics,qchem,14068.0
rxn_998,Zeus,C=CC,C[CH]C,6,0,0,False,3,1,0,Zeus,True,,heuristics,qchem,4144.0
rxn_866,Zeus,C=C[C]=S,C,4,0,0,False,1,2,0,Zeus,True,,heuristics,qchem,1900.0
rxn_718,Zeus,[H],NN=C,1,2,0,False,1,1,0,Zeus,False,Could not determine likely TS conformer,,qchem,904.0
rxn_207,Zeus,COO,[OH],1,0,3,False,2,0,0,Zeus,False,Could not determine likely TS conformer,,qchem,7396.0
rxn_1133,Zeus,C=CCC=C,C=C[C](C)C=C,11,0,0,False,5,4,0,Zeus,True,,heuristics,qchem,28127.0
rxn_1611,Zeus,C=C[CH]C=C,C=CC,8,0,0,False,3,3,0,Zeus,False,Could not determine likely TS conformer,,gaussian_unconverge_trsh,28780.0
rxn_1967,Zeus,CC=S,C[CH]c1ccccc1,10,0,0,True,3,1,0,Zeus,True,,heuristics,gauss_trsh_cleanup,33236.0
rxn_1444,Zeus,C#C[CH]C,Cc1ccccc1,11,0,0,True,3,0,1,Zeus,True,,heuristics,qchem,34058.0
rxn_795,Zeus,[H][H],C#C[CH]C,4,0,0,False,3,0,1,Zeus,True,,heuristics,qchem,10723.0
rxn_1349,Zeus,C#CCC#C,C[C](C)C,9,0,0,False,5,0,2,Zeus,True,,heuristics,qchem,14051.0
rxn_639,Zeus,[NH2],N=N,0,3,0,False,0,1,0,Zeus,False,Could not determine likely TS conformer,,qchem,1175.0
rxn_701,Zeus,[H],CN=C,2,1,0,False,1,1,0,Zeus,True,,autotst,qchem,2333.0
rxn_460,Zeus,CCOO,[CH2]C=O,4,0,3,False,4,1,0,Zeus,True,,heuristics,qchem,13164.0
rxn_1269,Zeus,C#C[CH]C#C,C#CCC,9,0,0,False,4,0,3,Zeus,True,,heuristics,qchem,42005.0
rxn_1844,Zeus,C[C](S)C,CS,4,0,0,False,4,0,0,Zeus,True,,heuristics,gauss_trsh_cleanup,5855.0
rxn_417,Zeus,CC(C)CO,C[CH2],6,0,1,False,5,0,0,Zeus,True,,heuristics,qchem,11668.0
rxn_93,Zeus,[NH2],CCC,3,1,0,False,2,0,0,Zeus,True,,heuristics,qchem,2325.0
rxn_1192,Zeus,C[CH]S,C=CC(C)C=C,8,0,0,False,5,2,0,Zeus,True,,heuristics,qchem,20908.0
rxn_131,Zeus,[Cl],C,1,0,0,False,0,0,0,Zeus,True,TS did not pass all checks,heuristics,qchem,373.0
rxn_830,Zeus,C=C[CH]C,C,5,0,0,False,2,1,0,Zeus,True,,heuristics,qchem,13464.0
rxn_1843,Zeus,C[CH]S,CS,3,0,0,False,3,0,0,Zeus,True,,heuristics,gauss_trsh_cleanup,14936.0
rxn_1085,Zeus,C=CC(C)C,C[C](C)C,9,0,0,False,6,1,0,Zeus,True,,heuristics,qchem,16959.0
rxn_468,Zeus,CC(C)CO,C[CH]C,7,0,1,False,6,0,0,Zeus,True,,heuristics,qchem,11944.0
rxn_347,Zeus,[CH3],C=CC,4,0,0,False,1,1,0,Zeus,True,,heuristics,qchem,3025.0
rxn_786,Zeus,[H][H],C[CH2],2,0,0,False,2,0,0,Zeus,False,Could not determine likely TS conformer,,qchem,4772.0
rxn_249,Zeus,C#CC=C,[CH3],5,0,0,False,1,1,1,Zeus,True,,heuristics,qchem,2024.0
rxn_224,Zeus,CCO,[O],2,0,2,False,2,0,0,Zeus,False,Could not determine likely TS conformer,,qchem,4323.0
rxn_611,Zeus,C#C[CH]C#C,C1CCC2CCCC2C1,14,0,0,False,12,0,2,Zeus,True,,heuristics,qchem,81173.0
rxn_1077,Zeus,C=CCC,C[C]=S,6,0,0,False,3,2,0,Zeus,True,,heuristics,qchem,17847.0
rxn_1418,Zeus,C#CC(C)C#C,C=[C]C=S,9,0,0,False,4,2,2,Zeus,True,,heuristics,qchem,22404.0
rxn_796,Zeus,[H][H],C#C[C](C)C,5,0,0,False,4,0,1,Zeus,True,,heuristics,qchem,27787.0
rxn_1266,Zeus,C#CCC,C=C[C](C)C=C,10,0,0,False,5,2,1,Zeus,True,,heuristics,qchem,45695.0
rxn_1663,Zeus,C=CC=C,C[C](C)c1ccccc1,13,0,0,True,4,2,0,Zeus,True,,heuristics,main,38753.0
rxn_656,Zeus,[H],ON=C,1,1,1,False,1,1,0,Zeus,True,,autotst,qchem,1710018.0
rxn_684,Zeus,[OH],CN,1,1,1,False,1,0,0,Zeus,False,Could not determine likely TS conformer,,qchem,3042.0
rxn_1479,Zeus,C[CH2],CCc1ccccc1,10,0,0,True,3,0,0,Zeus,True,,heuristics,qchem,16944.0
rxn_492,Zeus,[OH],N,0,1,1,False,0,0,0,Zeus,False,Could not determine likely TS conformer,,qchem,2156.0
rxn_594,Zeus,[CH]=C,C1CCC2CCCC2C1,11,0,0,False,10,1,0,Zeus,True,,autotst,qchem,36136.0
rxn_30,Zeus,CC(C)C=O,[H],4,0,1,False,3,1,0,Zeus,True,,heuristics,qchem,13918.0
rxn_346,Zeus,[H],C=CC,3,0,0,False,1,1,0,Zeus,False,Could not determine likely TS conformer,,qchem,2592.0
rxn_1503,Zeus,C[CH]C=S,CCc1ccccc1,11,0,0,True,4,1,0,Zeus,True,,heuristics,qchem,56931.0
rxn_1604,Zeus,C#C[C]=C,C=C,6,0,0,False,1,2,1,Zeus,True,,heuristics,gaussian_unconverge_trsh,2683.0
rxn_1092,Zeus,C#C[C](C)C,C=CC(C)C,10,0,0,False,6,1,1,Zeus,True,,heuristics,qchem,22267.0
rxn_1039,Zeus,C=CCC,C[CH2],6,0,0,False,3,1,0,Zeus,True,,heuristics,qchem,3788.0
rxn_1986,Zeus,C[C](C#C)S,CC=S,6,0,0,False,4,1,1,Zeus,True,,heuristics,gauss_trsh_cleanup,11238.0
rxn_933,Zeus,C[C](S)C,CCC,6,0,0,False,5,0,0,Zeus,True,,heuristics,qchem,12340.0
rxn_1578,Zeus,C#C[C](C)C#C,C=C,8,0,0,False,3,1,2,Zeus,False,Could not determine likely TS conformer,,zeus_run,8618.0
rxn_636,Zeus,[H],N=N,0,2,0,False,0,1,0,Zeus,False,Could not determine likely TS conformer,,qchem,643.0
rxn_1358,Zeus,C#CCC#C,C#C[C](C)C#C,11,0,0,False,5,0,4,Zeus,True,,heuristics,qchem,18520.0
rxn_464,Zeus,[SH],CCC=S,3,0,0,False,2,1,0,Zeus,True,,heuristics,qchem,2700.0
rxn_398,Zeus,OO,CCC[CH]O,4,0,3,False,5,0,0,Zeus,True,,heuristics,qchem,5618.0
rxn_37,Zeus,OO,CO[O],1,0,4,False,3,0,0,Zeus,True,,heuristics,qchem,9856.0
rxn_1113,Zeus,C[C](C=C)S,C=CC(C)C,9,0,0,False,6,2,0,Zeus,True,,heuristics,qchem,27528.0
rxn_1890,Zeus,CCS,S=C[C](C)C,6,0,0,False,5,1,0,Zeus,True,,heuristics,gauss_trsh_cleanup,12591.0
rxn_197,Zeus,CO,[O]O,1,0,3,False,2,0,0,Zeus,True,,heuristics,qchem,2872.0
rxn_954,Zeus,C[CH2],CC(C)C,6,0,0,False,4,0,0,Zeus,True,,heuristics,qchem,17689.0
rxn_1006,Zeus,C#C[C](C)C,C=CC,8,0,0,False,4,1,1,Zeus,True,,heuristics,qchem,9367.0
rxn_208,Zeus,COO,[O]O,1,0,4,False,3,0,0,Zeus,True,,autotst,qchem,6105.0
rxn_313,Zeus,C,[O][O],1,0,2,False,1,0,0,Zeus,False,Could not determine likely TS conformer,,qchem,5895.0
rxn_898,Zeus,S[CH]C=S,CC,4,0,0,False,3,1,0,Zeus,True,,heuristics,qchem,9563.0
rxn_1436,Zeus,Cc1ccccc1,C[CH]C,10,0,0,False,3,0,0,Zeus,True,,heuristics,qchem,20515.0
rxn_1293,Zeus,C#CCC,C[C](C#C)S,8,0,0,False,5,0,2,Zeus,True,,heuristics,qchem,14906.0
rxn_1633,Zeus,C[C](C=C)S,C=CC,7,0,0,False,4,2,0,Zeus,True,,heuristics,gaussian_unconverge_trsh,7978.0
rxn_129,Zeus,[NH],CC,2,1,0,False,1,0,0,Zeus,True,,heuristics,qchem,914.0
rxn_742,Zeus,C=CC,C1CC2CC[C]1C2,10,0,0,False,9,1,0,Zeus,True,,heuristics,qchem,23756.0
rxn_1814,Zeus,C=[C]C=S,C=C=C,6,0,0,False,1,4,0,Zeus,True,,heuristics,gauss_trsh_cleanup,3872.0
rxn_124,Zeus,NN,[CH3],1,2,0,False,1,0,0,Zeus,True,,heuristics,qchem,1055.0
rxn_1478,Zeus,[CH3],CCc1ccccc1,9,0,0,True,2,0,0,Zeus,True,,heuristics,qchem,17060.0
rxn_482,Zeus,[NH2],CC,2,1,0,False,1,0,0,Zeus,True,,heuristics,qchem,1117.0
rxn_1180,Zeus,C#C[C](C)C,C=CC(C)C=C,11,0,0,False,6,2,1,Zeus,True,,heuristics,qchem,47331.0
rxn_420,Zeus,[CH]=C,CC(C)CO,6,0,1,False,4,1,0,Zeus,True,,heuristics,qchem,5060.0
rxn_1328,Zeus,C#CC(C)C,S=C[C](C)C,9,0,0,False,6,1,1,Zeus,True,,heuristics,qchem,24926.0
rxn_1529,Zeus,C=C[CH]C=C,CC(C)c1ccccc1,14,0,0,True,5,2,0,Zeus,True,,heuristics,qchem,83270.0
rxn_851,Zeus,C[CH]C=S,C,4,0,0,False,2,1,0,Zeus,True,,heuristics,qchem,6643.0
rxn_921,Zeus,C#C[CH]C#C,CCC,8,0,0,False,4,0,2,Zeus,True,,heuristics,qchem,8932.0
rxn_1869,Zeus,CCS,C=C[CH]C,6,0,0,False,4,1,0,Zeus,True,,heuristics,gauss_trsh_cleanup,5131.0
rxn_155,Zeus,[Cl],CCCCOC(C)=O,6,0,2,False,6,1,0,Zeus,True,TS did not pass all checks,heuristics,qchem,26138.0
rxn_92,Zeus,[NH2],CCC,3,1,0,False,2,0,0,Zeus,True,"Reactant or Product did not converge, but TS did",heuristics,qchem,3436.0
rxn_52,Zeus,CCC,[SH],3,0,0,False,2,0,0,Zeus,True,"Reactant or Product did not converge, but TS did",heuristics,qchem,3492.0
rxn_1275,Zeus,C#CCC,C=[C]C,7,0,0,False,3,1,1,Zeus,True,,heuristics,qchem,6771.0
rxn_613,Zeus,[CH2]c1ccccc1,C1CCC2CCCC2C1,16,0,0,False,11,0,0,Zeus,True,,autotst,qchem,121773.0
rxn_73,Zeus,C,[S],1,0,0,False,0,0,0,Zeus,False,Could not determine likely TS conformer,,qchem,2009.0
rxn_368,Zeus,C=O,C[O],2,0,2,False,1,1,0,Zeus,True,,autotst,qchem,3538.0
rxn_1838,Zeus,C=C=C,C=C[C]=S,6,0,0,False,1,4,0,Zeus,True,,heuristics,gauss_trsh_cleanup,5997.0
rxn_973,Zeus,[CH2]S,CC(C)C,5,0,0,False,4,0,0,Zeus,True,,heuristics,qchem,7231.0
rxn_1792,Zeus,S[C]=S,C#CC=C,5,0,0,False,2,2,1,Zeus,True,,heuristics,gauss_trsh_cleanup,3059.0
rxn_325,Zeus,[CH]=O,CC,3,0,1,False,1,1,0,Zeus,True,,heuristics,qchem,1086.0
rxn_1796,Zeus,C#CC=C,S=[C]C#C,7,0,0,False,2,2,2,Zeus,True,,autotst,gauss_trsh_cleanup,48476.0
rxn_100,Zeus,[NH2],C=CC,3,1,0,False,1,1,0,Zeus,True,,heuristics,qchem,1253.0
rxn_1023,Zeus,S=C[C](C)C,C=CC,7,0,0,False,4,2,0,Zeus,True,,heuristics,qchem,16923.0
rxn_741,Zeus,C=CC,[CH]1C2CCC1CC2,10,0,0,False,9,1,0,Zeus,True,,heuristics,qchem,26158.0
rxn_1657,Zeus,C#C[CH]C,C=CC=C,8,0,0,False,3,2,1,Zeus,True,,autotst,main,39643.0
rxn_1303,Zeus,C#CC(C)C,C[CH2],7,0,0,False,4,0,1,Zeus,True,,heuristics,qchem,9075.0
rxn_110,Zeus,[NH2],C#CC(C)C,5,1,0,False,3,0,1,Zeus,True,,heuristics,qchem,4180.0
rxn_1011,Zeus,C=CC,C[C](C)c1ccccc1,12,0,0,True,4,1,0,Zeus,True,,heuristics,qchem,31900.0
rxn_606,Zeus,C=C[CH]C=C,C1CCC2CCCC2C1,14,0,0,False,12,2,0,Zeus,True,,heuristics,qchem,121939.0
rxn_95,Zeus,[NH2],CCCC,4,1,0,False,3,0,0,Zeus,True,,heuristics,qchem,2791.0
rxn_769,Zeus,[H],CC,2,0,0,False,1,0,0,Zeus,False,Could not determine likely TS conformer,,qchem,1107.0
rxn_1172,Zeus,C=CC(C)C=C,C[CH]C,9,0,0,False,5,2,0,Zeus,True,,heuristics,qchem,39323.0
rxn_1810,Zeus,C=C=C,S=C[C](C)C,7,0,0,False,3,3,0,Zeus,True,,heuristics,gauss_trsh_cleanup,7348.0
rxn_1302,Zeus,C#CC(C)C,[CH3],6,0,0,False,3,0,1,Zeus,True,,heuristics,qchem,4275.0
rxn_1415,Zeus,C#CC(C)C#C,C[CH]C=S,9,0,0,False,5,1,2,Zeus,True,,heuristics,qchem,22770.0
rxn_279,Zeus,c1ccccc1,C[CH2],8,0,0,False,1,0,0,Zeus,True,,heuristics,qchem,8859.0
rxn_876,Zeus,C#C[CH]C,CC,6,0,0,False,3,0,1,Zeus,True,,heuristics,qchem,7237.0
rxn_1926,Zeus,CC(S)C,C=[C]C,6,0,0,False,4,1,0,Zeus,True,,autotst,gauss_trsh_cleanup,34462.0
rxn_772,Zeus,CC(C)CCO,[CH3],6,0,1,False,5,0,0,Zeus,True,,heuristics,qchem,9955.0
rxn_1042,Zeus,[CH2]C=C,C=CCC,7,0,0,False,3,2,0,Zeus,False,Could not determine likely TS conformer,,qchem,18266.0
rxn_1632,Zeus,S[CH]C=C,C=CC,6,0,0,False,3,2,0,Zeus,True,,heuristics,gaussian_unconverge_trsh,9519.0
rxn_323,Zeus,[C]#C,CC,4,0,0,False,1,0,1,Zeus,False,Could not determine likely TS conformer,,qchem,5354.0
rxn_33,Zeus,OO,C[C]=CC,4,0,2,False,3,1,0,Zeus,False,Could not determine likely TS conformer,,qchem,12580.0
rxn_229,Zeus,CCO,[O]O,2,0,3,False,3,0,0,Zeus,True,,heuristics,qchem,7233.0
rxn_652,Zeus,N=O,[O],0,1,2,False,0,1,0,Zeus,False,Could not determine likely TS conformer,,qchem,16113.0
rxn_133,Zeus,[Cl],CCC,3,0,0,False,2,0,0,Zeus,True,"Reactant or Product did not converge, but TS did",heuristics,qchem,3216.0
rxn_869,Zeus,C[C](C)C,CC,6,0,0,False,4,0,0,Zeus,True,,heuristics,qchem,9419.0
rxn_142,Zeus,[Cl],CCO,2,0,1,False,2,0,0,Zeus,False,Could not determine likely TS conformer,,qchem,3556.0
rxn_1452,Zeus,C=[C]C=C,Cc1ccccc1,11,0,0,True,2,2,0,Zeus,True,,heuristics,qchem,38143.0
rxn_1155,Zeus,C=[C]C=S,C=CCC=C,8,0,0,False,3,4,0,Zeus,True,,heuristics,qchem,23093.0
rxn_1507,Zeus,S[CH]C=C,CCc1ccccc1,11,0,0,True,4,1,0,Zeus,True,,heuristics,qchem,57723.0
rxn_1433,Zeus,[H],Cc1ccccc1,7,0,0,True,1,0,0,Zeus,True,,autotst,qchem,62356.0
rxn_596,Zeus,C=[C]C=C,C1CCC2CCCC2C1,13,0,0,False,11,2,0,Zeus,True,,autotst,qchem,59585.0
rxn_1371,Zeus,C#CCC#C,C[CH]C=S,8,0,0,False,4,1,2,Zeus,True,,heuristics,qchem,12616.0
rxn_1284,Zeus,C#CCC,S=C[C](C)C,8,0,0,False,5,1,1,Zeus,True,,heuristics,qchem,20161.0
rxn_484,Zeus,[NH2],CCC,3,1,0,False,2,0,0,Zeus,True,,heuristics,qchem,2071.0
rxn_676,Zeus,[NH2],C=N,1,2,0,False,0,1,0,Zeus,True,,heuristics,qchem,610.0
rxn_775,Zeus,[CH]=C,CCO,4,0,1,False,2,1,0,Zeus,True,,heuristics,qchem,2086.0
rxn_251,Zeus,C=C=CC,[CH3],5,0,0,False,1,2,0,Zeus,True,,heuristics,qchem,2961.0
rxn_1265,Zeus,C#CCC,C=C[CH]C=C,9,0,0,False,4,2,1,Zeus,True,,heuristics,qchem,13549.0
rxn_69,Zeus,[NH2],O,0,1,1,False,0,0,0,Zeus,False,Could not determine likely TS conformer,,qchem,687.0
rxn_1264,Zeus,C#CCC,C=C[C](C)C,9,0,0,False,5,1,1,Zeus,True,,heuristics,qchem,17733.0
rxn_488,Zeus,[H],N,0,1,0,False,0,0,0,Zeus,False,Could not determine likely TS conformer,,qchem,3172.0
rxn_628,Zeus,[NH2],[CH3],1,1,0,False,0,0,0,Zeus,False,Could not determine likely TS conformer,,qchem,797.0
rxn_1053,Zeus,C=CCC,C[C](C)c1ccccc1,13,0,0,True,5,1,0,Zeus,True,,heuristics,qchem,59883.0
rxn_1166,Zeus,S[C]=S,C=CCC=C,6,0,0,False,3,3,0,Zeus,True,,heuristics,qchem,42993.0
rxn_1558,Zeus,C[C](c1ccccc1)S,CC(C)c1ccccc1,17,0,0,True,6,0,0,Zeus,True,,heuristics,heurist_impr,121041.0
rxn_637,Zeus,N=N,[O],0,2,1,False,0,1,0,Zeus,True,TS did not pass all checks,heuristics,qchem,492.0
